x agregada low medium high critical
0.00 0.000000 0.000000 0.000000 0.000000 0.000000
1.00 0.000000 0.000000 0.000000 0.000000 0.000000
2.00 0.000000 0.000000 0.000000 0.000000 0.000000
3.00 0.000000 0.000000 0.000000 0.000000 0.000000
4.00 0.000000 0.000000 0.000000 0.000000 0.000000
5.00 0.000000 0.000000 0.000000 0.000000 0.000000
6.00 0.000000 0.000000 0.000000 0.000000 0.000000
7.00 0.000000 0.000000 0.000000 0.000000 0.000000
8.00 0.000000 0.000000 0.000000 0.000000 0.000000
9.00 0.000000 0.000000 0.000000 0.000000 0.000000
10.00 0.000000 0.000000 0.000000 0.000000 0.000000
11.00 0.000000 0.000000 0.000000 0.000000 0.000000
12.00 0.000000 0.000000 0.000000 0.000000 0.000000
13.00 0.000000 0.000000 0.000000 0.000000 0.000000
14.00 0.000000 0.000000 0.000000 0.000000 0.000000
15.00 0.000000 0.000000 0.000000 0.000000 0.000000
16.00 0.000000 0.000000 0.000000 0.000000 0.000000
17.00 0.000000 0.000000 0.000000 0.000000 0.000000
18.00 0.000000 0.000000 0.000000 0.000000 0.000000
19.00 0.000000 0.000000 0.000000 0.000000 0.000000
20.00 0.000000 0.000000 0.000000 0.000000 0.000000
21.00 0.000000 0.000000 0.000000 0.000000 0.000000
22.00 0.000000 0.000000 0.000000 0.000000 0.000000
23.00 0.000000 0.000000 0.000000 0.000000 0.000000
24.00 0.000000 0.000000 0.000000 0.000000 0.000000
25.00 0.000000 0.000000 0.000000 0.000000 0.000000
26.00 0.000000 0.000000 0.000000 0.000000 0.000000
27.00 0.000000 0.000000 0.000000 0.000000 0.000000
28.00 0.000000 0.000000 0.000000 0.000000 0.000000
29.00 0.000000 0.000000 0.000000 0.000000 0.000000
30.00 0.000000 0.000000 0.000000 0.000000 0.000000
31.00 0.000000 0.000000 0.000000 0.000000 0.000000
32.00 0.000000 0.000000 0.000000 0.000000 0.000000
33.00 0.000000 0.000000 0.000000 0.000000 0.000000
34.00 0.000000 0.000000 0.000000 0.000000 0.000000
35.00 0.000000 0.000000 0.000000 0.000000 0.000000
36.00 0.000000 0.000000 0.000000 0.000000 0.000000
37.00 0.000000 0.000000 0.000000 0.000000 0.000000
38.00 0.000000 0.000000 0.000000 0.000000 0.000000
39.00 0.000000 0.000000 0.000000 0.000000 0.000000
40.00 0.000000 0.000000 0.000000 0.000000 0.000000
41.00 0.000000 0.000000 0.000000 0.000000 0.000000
42.00 0.000000 0.000000 0.000000 0.000000 0.000000
43.00 0.000000 0.000000 0.000000 0.000000 0.000000
44.00 0.000000 0.000000 0.000000 0.000000 0.000000
45.00 0.000000 0.000000 0.000000 0.000000 0.000000
46.00 0.000000 0.000000 0.000000 0.000000 0.000000
