x low medium high
0.00 1.000000 0.000000 0.000000
0.50 1.000000 0.000000 0.000000
1.00 1.000000 0.000000 0.000000
1.50 1.000000 0.000000 0.000000
2.00 1.000000 0.000000 0.000000
2.50 1.000000 0.000000 0.000000
3.00 1.000000 0.000000 0.000000
3.50 1.000000 0.000000 0.000000
4.00 1.000000 0.000000 0.000000
4.50 1.000000 0.000000 0.000000
5.00 1.000000 0.000000 0.000000
5.50 1.000000 0.000000 0.000000
6.00 1.000000 0.000000 0.000000
6.50 1.000000 0.000000 0.000000
7.00 1.000000 0.000000 0.000000
7.50 1.000000 0.000000 0.000000
8.00 1.000000 0.000000 0.000000
8.50 1.000000 0.000000 0.000000
9.00 1.000000 0.000000 0.000000
9.50 1.000000 0.000000 0.000000
10.00 1.000000 0.000000 0.000000
10.50 1.000000 0.000000 0.000000
11.00 1.000000 0.000000 0.000000
11.50 1.000000 0.000000 0.000000
12.00 1.000000 0.000000 0.000000
12.50 1.000000 0.000000 0.000000
13.00 1.000000 0.000000 0.000000
13.50 1.000000 0.000000 0.000000
14.00 1.000000 0.000000 0.000000
14.50 1.000000 0.000000 0.000000
15.00 1.000000 0.000000 0.000000
15.50 1.000000 0.000000 0.000000
16.00 1.000000 0.000000 0.000000
16.50 1.000000 0.000000 0.000000
17.00 1.000000 0.000000 0.000000
17.50 1.000000 0.000000 0.000000
18.00 1.000000 0.000000 0.000000
18.50 1.000000 0.000000 0.000000
19.00 1.000000 0.000000 0.000000
19.50 1.000000 0.000000 0.000000
20.00 1.000000 0.000000 0.000000
20.50 1.000000 0.000000 0.000000
21.00 1.000000 0.000000 0.000000
21.50 1.000000 0.000000 0.000000
22.00 1.000000 0.000000 0.000000
22.50 1.000000 0.000000 0.000000
23.00 1.000000 0.000000 0.000000
23.50 1.000000 0.000000 0.000000
24.00 1.000000 0.000000 0.000000
24.50 1.000000 0.000000 0.000000
25.00 1.000000 0.000000 0.000000
25.50 1.000000 0.000000 0.000000
26.00 1.000000 0.000000 0.000000
26.50 1.000000 0.000000 0.000000
